Pääkaupunkiseudulle	NOUN
valmistuu	VERB
kesän	NOUN
aikana	ADP
kaksi	NUM
huoltoasemaa	NOUN
.	PUNCT

Ah	INTJ
miten	ADV
mautonta	ADJ
!	PUNCT

Mut	CCONJ
et	SCONJ
sellaist	DET
ihmisist	NOUN
mist	PRON
sä	PRON
näät	VERB
niinku	PART
et	SCONJ
,	PUNCT
et	SCONJ
ne	PRON
tykkää	VERB
susta	PRON
ni	PART
sellasten	ADJ
kanssa	ADP
on	AUX
hirvee	ADJ
helppo	ADJ
olla	VERB

Niillä	PRON
pesii	VERB
useita	DET
lajeja	NOUN
,	PUNCT
mm.	PART
uhanalaisia	ADJ
kuikkia	NOUN
ja	CCONJ
selkälokkeja	NOUN
.	PUNCT

On	AUX
väsynyt	ADJ
tai	CCONJ
sitten	PART
katselee	VERB
uutta	ADJ
ohjelmistoa	NOUN

Express	X
Ride	X
vain	PART
mennä	VERB
hutkutteli	VERB
loppumatkan	NOUN
.	PUNCT

Tomi	PROPN
katosi	VERB
viime	ADJ
marraskuussa	NOUN
ja	CCONJ
löydettiin	VERB
viikko	NOUN
sitten	ADP
hyvässä	ADJ
kunnossa	NOUN
.	PUNCT

Samaan	DET
aikaan	NOUN
espanjalaisryhmät	NOUN
esiintyivät	VERB
ulkomailla	NOUN
ansaitakseen	VERB
elantonsa	NOUN
.	PUNCT

Ja	CCONJ
tota	PART
niin	PART
,	PUNCT
siin	ADV
oli	VERB
joku	DET
ihme	ADJ
ovisysteemi	NOUN
mhh	INTJ
siin	ADV
oli	VERB
joku	DET
summeri	NOUN
mut	CCONJ
se	DET
summeri	NOUN
o	VERB
niihi	DET
asuntoihi	NOUN
.	PUNCT

Hän	PRON
kyllä	PART
oli	AUX
muistanut	VERB
heti	ADV
minun	DET
nimeni	NOUN
-	PUNCT
ja	CCONJ
hänen	DET
oikea	ADJ
nimensähän	NOUN
oli	AUX
tietenkin	PART
Katariina	PROPN
,	PUNCT
tietysti	PART
,	PUNCT
totta	PART
kai	PART
.	PUNCT

Kun	SCONJ
lentokonekin	NOUN
oli	AUX
Super	X
Caravelle	PROPN
,	PUNCT
niin	PART
äidin	NOUN
oli	AUX
kai	PART
mukavampi	ADJ
siitä	PRON
pankissakin	NOUN
kertoa	VERB
.	PUNCT

Sanoinko	VERB
jo	ADV
jotain	PRON
tästä	PRON
ravaamisesta	NOUN
?	PUNCT
:D	SYM

Okei	INTJ
,	PUNCT
saan	VERB
olla	AUX
fiiliksissä	NOUN
tosta	PRON
Suomen	PROPN
lipusta	NOUN
...	PUNCT

Olin	AUX
myös	ADV
todistamassa	VERB
kahta	NUM
jumalatonta	ADJ
ja	CCONJ
epäinhimillisen	ADJ
totalitaarista	ADJ
diktatuuria	NOUN
-	PUNCT
Leninin	PROPN
seuraajan	NOUN
Stalinin	PROPN
sekä	CCONJ
Hitlerin	PROPN
,	PUNCT
ja	CCONJ
niiden	PRON
nousua	NOUN
ja	CCONJ
tuhoa	NOUN
.	PUNCT

Kuten	SCONJ
jäsen	NOUN
Rothe	PROPN
sanoi	VERB
,	PUNCT
12	NUM
%	SYM
ei	AUX
riitä	VERB
.	PUNCT

Heillä	PRON
kaikilla	PRON
oli	AUX
käsissään	NOUN
lautaset	NOUN
,	PUNCT
kuten	SCONJ
Jalmarillakin	PROPN
.	PUNCT

|	PUNCT
D12	SYM
|	PUNCT
suhteista	NOUN
Mashrek-maihin	NOUN
vastaava	VERB
valtuuskunta	NOUN
:	PUNCT
|	PUNCT
20	NUM
jäsentä	NOUN

hei	INTJ
Jipshukka	PROPN
ota	VERB
kyytssss	NOUN
...	PUNCT
tssihhhh	X
...	PUNCT

Kännitzer	PROPN
on	AUX
tietokoneohjelma	NOUN
,	PUNCT
joka	PRON
muuttaa	VERB
annetun	VERB
tekstin	NOUN
sellaiseksi	ADJ
,	PUNCT
kuin	SCONJ
se	PRON
olisi	AUX
kirjoitettu	VERB
kännissä	NOUN
.	PUNCT

*	PUNCT
%	SYM
-	PUNCT
Siirry	VERB
kursorin	NOUN
alla	ADP
olevan	VERB
sulkumerkin	NOUN
vastakappaleen	NOUN
kohdalle	NOUN

Isännöintitehtävien	NOUN
vaatimustaso	NOUN
on	AUX
nopeasti	ADV
kasvanut	VERB
kiinteistöjen	NOUN
keskimääräisen	ADJ
iän	NOUN
noustessa	VERB
,	PUNCT
sekä	CCONJ
rakennusmateriaalien	NOUN
ja	CCONJ
talotekniikan	NOUN
nopeasti	ADV
monipuolistuessa	VERB
.	PUNCT

45-vuotias	ADJ
Doran	PROPN
oli	AUX
alun	ADV
perin	ADV
palkattu	VERB
säätiöön	NOUN
kirjanpitäjäksi	NOUN
,	PUNCT
mutta	CCONJ
tammikuussa	NOUN
2007	NUM
hänet	PRON
ylennettiin	VERB
COO:ksi	PROPN
(	PUNCT
chief	X
operating	X
officer	X
)	PUNCT
osan	NOUN
entisen	ADJ
toimitusjohtaja	NOUN
(	PUNCT
Executive	X
Officer	X
)	PUNCT
Brad	PROPN
Patricin	PROPN
tehtävistä	NOUN
siirryttyä	VERB
hänelle	PRON
.	PUNCT
